sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,-0.0307967838505315
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,-0.222352402750358
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.10675849596696
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,-0.222352402750358
sub001,open,visual power,Brodmann area 17,fast,rt,500pre,source,alpha,-0.114859386825088
sub001,open,visual power,Brodmann area 17,slow,rt,500pre,source,alpha,0.0695888859017472
sub001,open,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,0.00538480796782275
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,-0.282108637304637
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,0.126416655449375
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,-0.282108637304637
sub001,open,visual power,Brodmann area 18,fast,rt,500pre,source,alpha,-0.0223207194222053
sub001,open,visual power,Brodmann area 18,slow,rt,500pre,source,alpha,0.0392500801067695
sub001,open,visual power,Brodmann area 19,correct,accuracy,500pre,source,alpha,-0.00530938607775938
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,alpha,-0.0260126632911365
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,0.480080492554125
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,-0.0260126632911365
sub001,open,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,-0.0247004902291689
sub001,open,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,0.0460190592528885
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.08579645991685
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.153154807631702
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.376916405402323
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.153154807631702
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.11325624449063
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.101726802100344
sub001,open,somatovisual balance,max-Brodmann area 17,correct,accuracy,500pre,source,alpha,0.0258436873809631
sub001,open,somatovisual balance,max-Brodmann area 17,incorrect,accuracy,500pre,source,alpha,-0.251742252706219
sub001,open,somatovisual balance,max-Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.276455605147526
sub001,open,somatovisual balance,max-Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,-0.251742252706219
sub001,open,somatovisual balance,max-Brodmann area 17,fast,rt,500pre,source,alpha,0.0211045616752241
sub001,open,somatovisual balance,max-Brodmann area 17,slow,rt,500pre,source,alpha,0.061477122295139
sub001,open,somatovisual balance,max-Brodmann area 18,correct,accuracy,500pre,source,alpha,-0.0956231710902335
sub001,open,somatovisual balance,max-Brodmann area 18,incorrect,accuracy,500pre,source,alpha,-0.400023898443379
sub001,open,somatovisual balance,max-Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,0.156261158513127
sub001,open,somatovisual balance,max-Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,-0.400023898443379
sub001,open,somatovisual balance,max-Brodmann area 18,fast,rt,500pre,source,alpha,-0.103974279658412
sub001,open,somatovisual balance,max-Brodmann area 18,slow,rt,500pre,source,alpha,-0.064162678266151
sub001,open,somatovisual balance,max-Brodmann area 19,correct,accuracy,500pre,source,alpha,-0.50560271092847
sub001,open,somatovisual balance,max-Brodmann area 19,incorrect,accuracy,500pre,source,alpha,-0.578381180397531
sub001,open,somatovisual balance,max-Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,-0.226285946972745
sub001,open,somatovisual balance,max-Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,-0.578381180397531
sub001,open,somatovisual balance,max-Brodmann area 19,fast,rt,500pre,source,alpha,-0.517160531680814
sub001,open,somatovisual balance,max-Brodmann area 19,slow,rt,500pre,source,alpha,-0.473234300585244
sub001,open,absolute,Brodmann area 17,correct,accuracy,500pre,source,alpha,1.7951703061314e-05
sub001,open,absolute,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,1.30821506973106e-05
sub001,open,absolute,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,2.03453843845545e-05
sub001,open,absolute,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,1.30821506973106e-05
